objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
,Parks-nd.jpg,W. Robert Parks,,,,,,,,,,,,,,,,,,,,
,Pearson-Raymond.jpg,Raymond A. Pearson,,,,,,,,,,,,,,,,,,,,
,Pohlman1.mp3,Lynette Pohlman oral history,,,,,,,,,,,,,,,,,,,,
,Pope-Cottage.jpg,"Pope Cottage, n.d.",,,,,,,,,,,,,,,,,,,,
,rail-n.d..jpg,"Small Train, n.d.",,,,,,,,,,,,,,,,,,,,
,Richardson-Anna-1923.jpg,Anna Richardson,,,,,,,,,,,,,,,,,,,,
,Sanitarybldg.jpg,Sanitary Building,,,,,,,,,,,,,,,,,,,,
,Sheep-Campanile.jpg,Sheep by the Campanile,,,,,,,,,,,,,,,,,,,,
,Ship-Friday-Navy-dance-1945.jpg,"Ship Friday Navy dance, 1945",,,,,,,,,,,,,,,,,,,,
,slosshouse.jpg,Sloss House,,,,,,,,,,,,,,,,,,,,
,Southhall.jpg,"South Hall, n.d.",,,,,,,,,,,,,,,,,,,,
,Steven_Leath200.jpg,Steven Leath,,,,,,,,,,,,,,,,,,,,
,Storms-AB.jpg,Albert Boynton Storms,,,,,,,,,,,,,,,,,,,,
,Sweeney--1934.jpg,Orland Russell Sweeney,,,,,,,,,,,,,,,,,,,,
,Tiffany1.mp3,Lois Tiffany oral history,,,,,,,,,,,,,,,,,,,,
,tilden.jpg,Winifred R. Tilden,,,,,,,,,,,,,,,,,,,,
,Titlew.jpg,"The Iowa State University Campus and Its Buildings, 1859-1979",,,,,,,,,,,,,,,,,,,,
,TreesofCentralCampus.pdf,Trees of Central Campus,,,,,,,,,,,,,,,,,,,,
,"Trice,-Jack-1923.jpg","Jack Trice, 1923",,,,,,,,,,,,,,,,,,,,
,vethospital-1899.jpg,Veterinary Hospital,,,,,,,,,,,,,,,,,,,,
,"Welch,-Mary.jpg",Mary Beaumont Welch,,,,,,,,,,,,,,,,,,,,
,Welch.jpg,Adonijah S. Welch,,,,,,,,,,,,,,,,,,,,
,Wilson-James.jpg,"James ""Tama Jim"" Wilson",,,,,,,,,,,,,,,,,,,,
,Wortman-1994.jpg,"Max S. Wortman, Jr.",,,,,,,,,,,,,,,,,,,,
,YellLikeHell-1980.jpg,"Yell Like Hell, 1980",,,,,,,,,,,,,,,,,,,,
